DIVERTER WHEEL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ITEM CODE,DIA,WIDTH,NO.OF GROOVES,ROPE DIAMETER,PITCH,"BEARING
(MAKE-FAG)",Material ,Shaft Diameter,RATED LOAD,,,,,SHAFT DETAILS,,
,,,,,,,,,,,,,,SHAFT OUTER DIAMETER,SHAFT GROOVE DISTANCE,SHAFT LENGTH
,"A
(mm)","L
(mm)",N,"RD
(mm)","P
(mm)",,,"ØB
(mm)",kg,,,,,,,
,,,,,,,,,,,,,,ØB,J,K
BM-400_105_05G_13B,400,105,5,13,19,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_09G_08B,400,140,9,8,12,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_09G_08B,400,140,9,8,12,6212ZZ,FG 300,Ø60,5700,,,,,,,
*BM-400_140_10G_08B,400,140,10,8,12,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_10G_08B,400,140,10,8,12,6212ZZ,FG 300,Ø60,5700,,,,,,,
*BM-400_140_11G_08B,400,140,11,8,12,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_11G_08B,400,140,11,8,12,6212ZZ,FG 300,Ø60,5700,,,,,,,
*BM-400_140_07G_10B,400,140,7,10,16,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_07G_10B,400,140,7,10,16,6212ZZ,FG 300,Ø60,5700,,,,,,,
*BM-400_140_08G_10B,400,140,8,10,16,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_08G_10B,400,140,8,10,16,6212ZZ,FG 300,Ø60,5700,,,,,,,
*BM-400_140_06G_13B,400,140,6,13,19,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_06G_13B,400,140,6,13,19,6212ZZ,FG 300,Ø60,5700,,,,,,,
*BM-400_140_07G_13B,400,140,7,13,19,6211ZZ,FG 300,Ø55,4600,,,,,,,
*BM-400_140_07G_13B,400,140,7,13,19,6212ZZ,FG 300,Ø60,5700,,,,,,,
*BM-400_180_12G_08B,400,180,12,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-400_180_13G_08B,400,180,13,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-400_180_14G_08B,400,180,14,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-400_180_09G_10B,400,180,9,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-400_180_10G_10B,400,180,10,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-400_180_11G_10B,400,180,11,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-400_180_08G_13B,400,180,8,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-400_180_09G_13B,400,180,9,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
  BM-450_042_02G_10B,446,42,2,10,16,6210ZZ,FG 260,Ø50,2100,,,,,,,
*BM-460_125_08G_08B,460,125,8,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-460_125_09G_08B,460,125,9,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-460_125_06G_10B,460,125,6,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-460_125_07G_10B,460,125,7,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-460_125_05G_13B,460,125,5,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-460_125_06G_13B,460,125,6,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
  BM-500_083_05G_08B,500,83,5,8,12,6212ZZ,SG 600/3,Ø60,3700,,,,,,,
  BM-500_083_05G_08B,500,83,5,8,12,6214ZZ,SG 600/3,Ø70,3700,,,,,,,
  BM-500_083_06G_08B,500,83,6,8,12,6212ZZ,SG 600/3,Ø60,4300,,,,,,,
  BM-500_083_06G_08B,500,83,6,8,12,6214ZZ,SG 600/3,Ø70,4300,,,,,,,
