Grooves Section,PRODUCT CODE,PCD,NO OF GROOVES,BUSH,TYPE,Outside,Max. Bore,,L,N,M
,,,,,,OD,Metric,Inch,,,
Z,BM-4Z-315-T5FG,315,4,2517,5,319,60,"2 ½""",52,15.5,15.5
Z,BM-5Z-315-T5FG,315,5,2517,5,319,60,"2 ½""",64,15.5,15.5
Z,BM-6Z-315-T5FG,315,6,2517,5,319,60,"2 ½""",76,15.5,15.5
,,,,,,,,,,,
Z,BM-1Z-400-T4FG,400,1,2012,4,404,50,"2""",16,18.2,18.2
Z,BM-2Z-400-T4FG,400,2,2517,4,404,60,"2 """,28,15.5,15.5
Z,BM-3Z-400-T4FG,400,3,2517,4,404,60,"2 ½""",40,15.5,15.5
Z,BM-4Z-400-T5FG,400,4,2517,5,404,60,"2 ½""",52,15.5,15.5
Z,BM-5Z-400-T5FG,400,5,3020,5,404,75,"3""",64,24.2,24.2
Z,BM-6Z-400-T4FG,400,6,3030,4,404,75,"3""",76,1.2,1.2
,,,,,,,,,,,
Z,BM-2Z-500-T4FG,500,2,2517,4,504,60,"2 ½""",28,15.5,15.5
Z,BM-3Z-500-T4FG,500,3,2517,4,504,60,"2 ½""",40,15.5,15.5
Z,BM-4Z-500-T5FG,500,4,3020,5,504,75,"3""",52,24.2,24.2
Z,BM-5Z-500-T5FG,500,5,3020,5,504,75,"3""",64,24.2,24.2
Z,BM-6Z-500-T4FG,500,6,3030,4,504,75,"3""",76,1.2,1.2
,,,,,,,,,,,
Z,BM-3Z-630-T4FG,630,3,2517,4,634,60,"2 ½""",40,15.5,15.5
Z,BM-4Z-630-T5FG,630,4,3020,5,634,75,"3""",52,24.2,24.2
Z,BM-5Z-630-T4FG,630,5,3030,4,634,75,"3""",64,1.2,1.2
Z,BM-6Z-630-T4FG,630,6,3535,4,634,90,"3½""",76,1,1
,,,,,,,,,,,
Z,BM-3Z-800-T4FG,800,3,3030,4,804,75,"3""",40,1.2,1.2
Z,BM-4Z-800-T4FG,800,4,3030,4,804,75,"3""",52,1.2,1.2
Z,BM-5Z-800-T4FG,800,5,3535,4,804,90,"3½""",64,1,1
Z,BM-6Z-800-T4FG,800,6,3535,4,804,90,"3½""",76,1,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A,BM-1A-67-T1FG*,67,1,1108,1,72.6,28,"1⅛""",20,2.2,-
A,BM-2A-67-T6FG,67,2,1108,6,72.6,28,"1⅛""",35,12.8,-
,,,,,,,,,,,
A,BM-1A-71-T6FG*,71,1,1108,1,76.6,28,"1⅛""",20,2.2,-
A,BM-2A-71-T6FG*,71,2,1108,6,76.6,28,"1⅛""",35,12.8,-
