,“PYB” Poly-V “J”,,,,,,,,,
section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
K,,12,5,2517,45,2,120,180,-,49
K,,,,,,,,,,
K,» “PYB” Poly-V “K”,,,,,,,,,
K,,,,,,,,,,
K,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
K,212,4,6,2012,32,5.75,110,196,-,20.5
K,,6,6,2517,45,8.25,120,192,-,28.5
K,,8,6,2517,45,4.5,120,192,-,36
K,,10,6,2517,45,1.5,120,192,-,42
K,,12,5,2517,45,2,120,192,-,49
K,224,4,6,2012,32,5.75,110,208,-,20.5
K,,6,6,2517,45,8.25,120,204,-,28.5
K,,8,6,2517,45,4.5,120,204,-,36
K,,10,6,2517,45,1.5,120,204,-,42
K,,12,5,2517,45,2,120,204,-,49
K,236,4,6,2012,32,5.75,110,220,-,20.5
K,,6,6,2517,45,8.25,120,216,-,28.5
K,,8,6,2517,45,4.5,120,216,-,36
K,,10,6,2517,45,1.5,120,216,-,42
K,,12,5,2517,45,2,120,216,-,49
K,250,4,9,2012,32,5.75,110,234,-,20.5
K,,6,6,2517,45,8.25,120,230,-,28.5
K,,8,6,2517,45,4.5,120,230,-,36
K,,10,6,2517,45,1.5,120,230,-,42
K,,12,5,2517,45,2,120,230,-,49
K,280,4,9,2012,32,5.75,110,264,-,20.5
K,,6,9,2517,45,8.25,120,260,-,28.5
K,,8,9,2517,45,4.5,120,260,-,36
K,,10,9,3020,52,5,146,256,-,42
K,,12,9,3020,52,1.5,146,256,-,49
K,315,4,9,2012,32,5.75,110,299,-,20.5
K,,6,9,2517,45,8.25,120,295,-,28.5
K,,8,9,2517,45,4.5,120,295,-,36
K,,10,9,3020,52,5,146,285,-,42
K,,12,9,3020,52,1.5,146,285,-,49
K,355,4,9,2517,45,12.25,120,339,-,20.5
K,,6,9,2517,45,8.25,120,339,-,28.5
K,,8,9,3020,52,8,146,335,-,36
K,,10,9,3020,52,5,146,335,-,42
K,,12,9,3020,52,1.5,146,335,-,49
K,400,4,9,2517,45,2.25,120,380,-,20.5
K,,6,9,2517,45,8.25,120,380,-,28.5
K,,8,9,3020,52,8,146,370,-,36
K,,10,9,3020,52,5,146,370,-,42
K,,12,9,3020,52,1.5,146,370,-,49
K,450,4,9,2517,45,12.25,120,420,-,20.5
K,,6,9,2517,45,8.25,120,420,-,28.5
K,,8,9,3020,52,8,146,420,-,36
K,,10,9,3020,52,5,146,420,-,42
K,,12,9,3020,52,1.5,146,420,-,49
K,500,4,9,2517,45,12.25,120,470,-,20.5
K,,6,9,2517,45,8.25,120,470,-,28.5
K,,8,9,3020,52,8,146,470,-,36
K,,10,9,3020,52,5,146,470,-,42
K,,12,9,3020,52,1.5,146,470,-,49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,“PYB” Poly-V “L”,,,,,,,,,
,,,,,,,,,,
Section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,75,6,2,1210,26,12.5,-,56,-,38.5
L,,8,2,1210,26,22,-,56,-,48
L,,10,2,1215,42,15,-,56,-,57
L,,,,,,,-,,-,
L,,12,2,1215,42,25,-,56,-,67
L,,,,,,,-,,-,
L,80,6,2,1210,26,12.5,-,56,-,38.5
L,,,,,,,-,,-,
L,,8,2,1210,26,22,-,56,-,48
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,56,-,57
L,,12,2,1215,42,25,-,56,-,67
L,,,,,,,-,,-,
L,85,6,2,1210,26,12.5,-,61,-,38.5
L,,,,,,,-,,-,
L,,8,2,1210,26,22,-,61,-,48
L,,,,,,,-,,-,
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,61,-,57
L,,,,,,,-,,-,
L,,12,2,1215,42,25,-,61,-,67
L,,,,,,,-,,-,
L,,16,4,1215,42,22,-,61,-,86
L,90,6,2,1210,26,12.5,-,66,-,38.5
L,,8,2,1210,26,22,-,66,-,48
L,,10,2,1215,42,15,-,66,-,57
L,,12,2,1215,42,25,-,66,-,67
L,,16,4,1215,42,22,-,66,-,86
L,95,6,2,1210,26,12.5,-,71,-,38.5
L,,8,2,1210,26,22,-,71,-,48
L,,,,,,,-,,-,
L,,10,2,1215,42,15,-,71,-,57
L,,12,2,1215,42,25,-,71,-,67
L,,16,4,1215,42,22,-,71,-,86
L,100,6,2,1610,26,12.5,-,76,-,38.5
L,,,,,,,-,,-,
L,,8,2,1610,26,22,-,76,-,48
L,,,,,,,-,,-,
L,,10,2,2012,32,25,-,79,-,57
L,,,,,,,-,,-,
L,,12,2,2012,32,35,-,79,-,67
L,,16,4,2012,32,27,-,79,-,86
L,106,6,2,1610,26,12.5,-,82,-,38.5
L,,8,2,1610,26,22,-,82,-,48
L,,10,2,2012,32,25,-,82,-,57
L,,12,2,2012,32,35,-,82,-,67
L,,16,4,2012,32,27,-,82,-,86
L,112,6,2,1610,26,12.5,-,88,-,38.5
L,,8,2,1610,26,22,-,88,-,48
L,,10,2,2012,32,25,-,88,-,57
L,,12,2,2012,32,35,-,88,-,67
L,,16,4,2012,32,27,-,88,-,86
L,118,6,2,2012,32,6.5,-,94,-,38.5
L,,8,2,2012,32,16,-,94,-,48
L,,10,4,2517,45,6,-,97,-,57
L,,12,4,2517,45,11,-,97,-,67
L,,16,4,2517,45,20.5,-,97,-,86
L,,20,4,2517,45,30,-,97,-,105
L,125,6,2,2012,32,6.5,-,101,-,38.5
L,,8,2,2012,32,16,-,101,-,48
L,,10,4,2517,45,6,-,101,-,57
L,,12,4,2517,45,11,-,101,-,67
L,,16,4,2517,45,20.5,-,101,-,86
L,,20,4,2517,45,30,-,101,-,105
L,132,6,2,2012,32,6.5,-,108,-,38.5
L,,8,2,2012,32,16,-,108,-,48
L,,10,4,2517,45,6,-,108,-,57
L,,12,4,2517,45,11,-,108,-,67
L,,16,4,2517,45,20.5,-,108,-,86
L,,20,4,2517,45,30,-,108,-,105
L,,,,,,,,,,
L,» “PYB” Poly-V “L”,,,,,,,,,
L,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
L,140,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,116,-,48
L,,10,4,2517,45,6,-,116,-,57
L,,12,4,2517,45,11,-,116,-,67
L,,16,4,2517,45,20.5,-,116,-,86
L,,20,4,3020,52,26.5,-,116,-,105
L,150,6,7,2517,45,6.5,120,-,-,38.5
L,,8,2,2517,45,3,-,126,-,48
L,,10,4,2517,45,6,-,126,-,57
L,,12,4,2517,45,11,-,126,-,67
L,,16,4,2517,45,20.5,-,126,-,86
