5MM PITCH HIGH TORQUE PULLEYS (15MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
192-8-85,8,85,192,8,3525,100,4,488.92,487.55,-,94,457,14.5,65,14.5,198,,,
,,,,,,,,,,,,,,,,,,,
14MM PITCH HIGH TORQUE PULLEYS (40MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
28-14-40,14,40,28,5F,2012,50,2,124.78,122.12,141,54,88,0,32,22,-,,,
29-14-40,14,40,29,5F,2012,50,2,129.23,126.57,141,54,90,0,32,22,-,,,
30-14-40,14,40,30,5F,2012,50,2,133.69,130.99,141,54,91,0,32,22,-,,,
32-14-40,14,40,32,6F,2012,50,2,142.60,139.88,156,54,100,11,32,11,-,,,
34-14-40,14,40,34,6F,2517,60,2 1/2,151.51,148.79,156,54,109,45,45,4.5,-,,,
36-14-40,14,40,36,5F,2517,60,2 1/2,160.43,157.68,169,54,117,0,45,9,-,,,
38-14-40,14,40,38,5F,2517,60,2 1/2,169.34,166.6,183,54,126,0,45,9,-,,,
40-14-40,14,40,40,5F,2517,60,2 1/2,178.25,175.49,197,54,135,0,45,9,-,,,
44-14-40,14,40,44,5F,3020,75,3,196.08,193.28,211,54,153,0,51,3,-,,,
48-14-40,14,40,48,5F,3020,75,3,213.9,211.11,226,54,171,0,51,3,-,,,
56-14-40,14,40,56,7F,3020,75,3,249.55,246.76,267,54,207,1.5,51,1.5,144,,,
64-14-40,14,40,64,8F,3020,75,3,285.21,282.41,297,54,242,1.5,51,1.5,159,,,
72-14-40,14,40,72,8,3020,75,3,320.86,318.06,-,54,278,1.5,51,1.5,159,,,
80-14-40,14,40,80,7,3020,75,3,356.51,353.71,-,54,314,1.5,51,1.5,159,,,
90-14-40,14,40,90,8,3020,75,3,401.07,398.28,-,54,362,1.5,51,1.5,159,,,
